found_in_function,team,defect_category,ticket_count
24-07,DIPS,Not Homologation relevant,2
24-07,DIPS,Obstructing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Confirmed,2
24-07,DIPS,Showstopper_Candidate | Not Homologation relevant,2
24-07,DTSV_China,,2
24-07,DTSV_China,Showstopper_Candidate,2
24-07,DTSV_China,Showstopper_Confirmed,2
24-07,DTSV_WCL,Showstopper_Confirmed,2
24-07,[AT]CoC_EI_IuK_MGU_ENG10_SysVal,Showstopper_Confirmed,2
24-07,[AT]SysVal_China,Showstopper_Candidate,2
24-07,[AT]SysVal_Korea,Showstopper_Confirmed,2
24-11,,No_Showstopper_Confirmed,2
24-11,,Showstopper_Candidate,2
24-11,DIPS,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,2
